14
9999       169       561       777       870       639       410        63       144       335       141       623       308       438
138      9999       465       730       897       538       457       177       280       431       279       523       375       338
459       380      9999       260       669       351       394       442       580       792       557       336       410       190
635       598       317      9999       442       238       369       598       724       963       691       233       449       279
1063      1097       818       540      9999       440       565       992       891      1135       852       460       699       700
523       658       429       291       360      9999       151       469       571       819       534        20       256       263
501       558       481       451       463       185      9999       428       433       681       395       179       112       256
77       216       541       730       811       574       350      9999       139       366       119       559       246       390
176       343       709       885      1089       698       530       170      9999       249        43       685       393       548
409       527       968      1177      1387      1001       832       447       304      9999       350       988       696       837
173       341       680       845      1042       652       483       146        43       286      9999       640       347       510
510       640       411       285       376        17       147       457       560       808       523      9999       248       244
376       458       501       549       572       313       137       301       322       569       284       303      9999       271
358       413       232       341       573       215       209       319       448       685       417       199       222      9999
